TOPc8e46a00	START
TOP8d9b952a	markov_classic	0
TOP8d9b952a	markov_disable	0
TOP8d9b952a	markov_threshold	0
TOP8d9b952a	outfile_autohex	1
TOP8d9b952a	outfile_check_timer	5
TOP8d9b952a	outfile_format	3
TOP8d9b952a	potfile_disable	0
TOP8d9b952a	powertune_enable	0
TOP8d9b952a	scrypt_tmto	0
TOP8d9b952a	quiet	0
TOP8d9b952a	remove	0
TOP8d9b952a	remove_timer	60
TOP8d9b952a	restore	0
TOP8d9b952a	restore_disable	0
TOP8d9b952a	restore_timer	60
TOP8d9b952a	rp_gen	0
TOP8d9b952a	rp_gen_func_max	4
TOP8d9b952a	rp_gen_func_min	1
TOP8d9b952a	rp_gen_seed	0
TOP8d9b952a	runtime	0
TOP8d9b952a	segment_size	32
TOP8d9b952a	show	0
TOP8d9b952a	status	0
TOP8d9b952a	machine_readable	0
TOP8d9b952a	status_timer	10
TOP8d9b952a	usage	0
TOP8d9b952a	username	0
TOP8d9b952a	version	0
TOP8d9b952a	weak_hash_threshold	100
TOP8d9b952a	workload_profile	2
TOP8d9b952a	limit	0
TOP8d9b952a	skip	0
TOP8d9b952a	separator	:
TOP8d9b952a	opencl_devices	2
TOP8d9b952a	opencl_vector_width	0
TOP8d9b952a	rule_buf_l	:
TOP8d9b952a	rule_buf_r	:
TOP8d9b952a	session	hashcat
TOP8d9b952a	veracrypt_pim	0
TOP8d9b952a	hashlist_mode	5
TOP8d9b952a	hashlist_format	0
TOP823d9cf4	START
TOP823d9cf4	attack_mode	0
TOP823d9cf4	attack_kern	0
TOP823d9cf4	benchmark	1
TOP823d9cf4	stdout_flag	0
TOP823d9cf4	bitmap_min	16
TOP823d9cf4	bitmap_max	24
TOP823d9cf4	debug_mode	0
TOP823d9cf4	force	1
TOP823d9cf4	kernel_accel	0
TOP823d9cf4	kernel_loops	0
TOP823d9cf4	nvidia_spin_damp	100
TOP823d9cf4	gpu_temp_disable	0
TOP823d9cf4	gpu_temp_abort	90
TOP823d9cf4	gpu_temp_retain	75
TOP823d9cf4	hash_mode	0
TOP823d9cf4	hex_charset	0
TOP823d9cf4	hex_salt	0
TOP823d9cf4	hex_wordlist	0
TOP823d9cf4	increment	0
TOP823d9cf4	increment_max	54
TOP823d9cf4	increment_min	1
TOP823d9cf4	keyspace	0
TOP823d9cf4	left	0
TOP823d9cf4	logfile_disable	0
TOP823d9cf4	loopback	0
TOP823d9cf4	markov_classic	0
TOP823d9cf4	markov_disable	0
TOP823d9cf4	markov_threshold	0
TOP823d9cf4	outfile_autohex	1
TOP823d9cf4	outfile_check_timer	5
TOP823d9cf4	outfile_format	3
TOP823d9cf4	potfile_disable	0
TOP823d9cf4	powertune_enable	0
TOP823d9cf4	scrypt_tmto	0
TOP823d9cf4	quiet	0
TOP823d9cf4	remove	0
TOP823d9cf4	remove_timer	60
TOP823d9cf4	restore	0
TOP823d9cf4	restore_disable	0
TOP823d9cf4	restore_timer	60
TOP823d9cf4	rp_gen	0
TOP823d9cf4	rp_gen_func_max	4
TOP823d9cf4	rp_gen_func_min	1
TOP823d9cf4	rp_gen_seed	0
TOP823d9cf4	runtime	0
TOP823d9cf4	segment_size	32
TOP823d9cf4	show	0
TOP823d9cf4	status	0
TOP823d9cf4	machine_readable	0
TOP823d9cf4	status_timer	10
TOP823d9cf4	usage	0
TOP823d9cf4	username	0
TOP823d9cf4	version	0
TOP823d9cf4	weak_hash_threshold	100
TOP823d9cf4	workload_profile	2
TOP823d9cf4	limit	0
TOP823d9cf4	skip	0
TOP823d9cf4	separator	:
TOP823d9cf4	opencl_vector_width	0
TOP823d9cf4	rule_buf_l	:
TOP823d9cf4	rule_buf_r	:
TOP823d9cf4	session	hashcat
TOP823d9cf4	veracrypt_pim	0
TOP823d9cf4	hashlist_mode	5
TOP823d9cf4	hashlist_format	0
TOPa3526b13	START
TOPa3526b13	attack_mode	0
